GeneID	Gene Function/Purpose	GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-Value	P-adj
gene-QRD25_RS24525	locus_tag=QRD25_RS24525	gene-QRD25_RS24525	273.1508061	-3.914885893	0.225408839	-17.36793425	1.44E-67	1.55E-65
gene-QRD25_RS04145	inference=COORDINATES: similar to AA sequence:RefSeq:WP_019454312.1	gene-QRD25_RS04145	12830.85418	1.950415675	0.183784352	10.61252308	2.61E-26	8.37E-25
gene-QRD25_RS04490	product=hypothetical protein	gene-QRD25_RS04490	2381.919751	2.209493205	0.20511094	10.77218606	4.66E-27	1.55E-25
gene-QRD25_RS08245	"go_function=[formate-C-acetyltransferase]-activating enzyme activity|0043365||IEA,4 iron%2C 4 sulfur cluster binding|0051539||IEA"	gene-QRD25_RS08245	4169.720951	-4.337329827	0.247783723	-17.50449857	1.32E-68	1.51E-66
gene-QRD25_RS08250	go_component=cytoplasm|0005737||IEA	gene-QRD25_RS08250	63443.96595	-4.980015035	0.173655982	-28.67747474	7.29E-181	1.33E-177
gene-QRD25_RS08255	locus_tag=QRD25_RS08255	gene-QRD25_RS08255	23534.17524	-5.246744051	0.198752023	-26.39844349	1.43E-153	1.74E-150
gene-QRD25_RS09060	product=DUF2770 family protein	gene-QRD25_RS09060	40.45341393	2.47841308	0.343665754	7.211696389	5.53E-13	8.26E-12
gene-QRD25_RS14935	"go_function=transcription antitermination factor activity%2C RNA binding|0001072||IEA,single-stranded DNA binding|0003697||IEA,RNA binding|0003723||IEA"	gene-QRD25_RS14935	20965.80821	-4.046544833	0.203852553	-19.85035153	1.09E-87	2.11E-85
gene-QRD25_RS18565	go_function=catalytic activity|0003824||IEA	gene-QRD25_RS18565	35761.97125	-4.261871511	0.186369086	-22.86791016	9.70E-116	5.91E-113
gene-QRD25_RS19945	inference=COORDINATES: similar to AA sequence:RefSeq:WP_004931561.1	gene-QRD25_RS19945	1734.513132	1.994866509	0.215018798	9.277637709	1.73E-20	4.29E-19
gene-QRD25_RS22045	go_component=ribosome|0005840||IEA	gene-QRD25_RS22045	10083.19229	-3.752314678	0.201079719	-18.66083111	1.03E-77	1.45E-75
gene-QRD25_RS23175	go_component=ribosome|0005840||IEA	gene-QRD25_RS23175	16460.82672	-4.229260362	0.211469689	-19.99936909	5.58E-89	1.13E-86
gene-QRD25_RS23445	go_component=ribosome|0005840||IEA	gene-QRD25_RS23445	12350.09628	-3.975115944	0.208117771	-19.10031961	2.51E-81	3.83E-79
