GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-Value,P-adj
gene-QRD25_RS08255,23534.17524,-5.246744051,0.198752023,-26.39844349,1.43E-153,1.74E-150
gene-QRD25_RS08250,63443.96595,-4.980015035,0.173655982,-28.67747474,7.29E-181,1.33E-177
MSTRG.340.1,186.8260198,-4.441119175,0.247179084,-17.9672127,3.52E-72,4.44E-70
gene-QRD25_RS08245,4169.720951,-4.337329827,0.247783723,-17.50449857,1.32E-68,1.51E-66
gene-QRD25_RS18565,35761.97125,-4.261871511,0.186369086,-22.86791016,9.70E-116,5.91E-113
gene-QRD25_RS23175,16460.82672,-4.229260362,0.211469689,-19.99936909,5.58E-89,1.13E-86
gene-QRD25_RS14935,20965.80821,-4.046544833,0.203852553,-19.85035153,1.09E-87,2.11E-85
gene-QRD25_RS23445,12350.09628,-3.975115944,0.208117771,-19.10031961,2.51E-81,3.83E-79
gene-QRD25_RS24525,273.1508061,-3.914885893,0.225408839,-17.36793425,1.44E-67,1.55E-65
gene-QRD25_RS22045,10083.19229,-3.752314678,0.201079719,-18.66083111,1.03E-77,1.45E-75
gene-QRD25_RS04145,12830.85418,1.950415675,0.183784352,10.61252308,2.61E-26,8.37E-25
rna-QRD25_RS04975,865.1091612,1.987548168,0.503171778,3.950039044,7.81E-05,0.000491386
gene-QRD25_RS19945,1734.513132,1.994866509,0.215018798,9.277637709,1.73E-20,4.29E-19
MSTRG.186.1,129.9150913,2.104821597,0.648052421,3.247918732,0.001162525,0.0053927
rna-QRD25_RS19810,185857.8434,2.143425261,0.433523961,4.94419099,7.65E-07,6.71E-06
gene-QRD25_RS04490,2381.919751,2.209493205,0.20511094,10.77218606,4.66E-27,1.55E-25
rna-QRD25_RS09280,351.5949453,2.441797751,0.565204496,4.320202276,1.56E-05,0.000111652
gene-QRD25_RS09060,40.45341393,2.47841308,0.343665754,7.211696389,5.53E-13,8.26E-12
rna-QRD25_RS02405,145.2624521,2.676245671,0.336351498,7.956693182,1.77E-15,3.35E-14
rna-QRD25_RS23865,722.1070478,3.382669134,0.51801828,6.530018854,6.58E-11,8.47E-10
