sampleid,population,sex,timepoint,bird,flock
11,migratory,female,C,BIRD05,migratoryfemale
14,resident,male,C,BIRD15,residentmale
56,migratory,male,C,BIRD10,migratorymale
67,resident,male,C,BIRD18,residentmale
79,resident,male,C,BIRD16,residentmale
80,resident,female,C,BIRD23,residentfemale
124,migratory,male,C,BIRD09,migratorymale
147,migratory,female,C,BIRD04,migratoryfemale
154,resident,male,C,BIRD17,residentmale
159,migratory,female,C,BIRD01,migratoryfemale
164,migratory,male,C,BIRD07,migratorymale
179,migratory,female,C,BIRD03,migratoryfemale
206,migratory,female,C,BIRD06,migratoryfemale
211,resident,female,C,BIRD25,residentfemale
267,migratory,male,C,BIRD12,migratorymale
270,resident,female,C,BIRD26,residentfemale
273,migratory,male,C,BIRD11,migratorymale
302,resident,female,C,BIRD21,residentfemale
337,resident,male,C,BIRD20,residentmale
339,resident,female,C,BIRD24,residentfemale
349,migratory,female,C,BIRD02,migratoryfemale
362,resident,male,C,BIRD19,residentmale
375,migratory,male,C,BIRD08,migratorymale
386,resident,female,C,BIRD22,residentfemale
