GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-Value	P-adj
gene-BTH_RS25860	8885.890076	-5.782531533	0.106162507	-54.46867936	0	0
gene-BTH_RS25870	9471.873112	-5.782131896	0.121156435	-47.72451352	0	0
gene-BTH_RS25865	10756.7711	-5.711880998	0.116892303	-48.86447477	0	0
gene-BTH_RS25875	7601.265708	-5.614284468	0.11197646	-50.13807781	0	0
gene-BTH_RS25855	5665.919411	-5.52284709	0.116911912	-47.23938741	0	0
gene-BTH_RS25850	2316.201032	-5.459506284	0.138410623	-39.44427217	0	0
gene-BTH_RS32185	903.2573245	-5.110822144	0.213739581	-23.91144458	2.33E-126	5.76E-124
gene-BTH_RS25845	2175.486712	-5.000863901	0.130144239	-38.42554946	0	0
gene-BTH_RS25840	1237.194296	-4.818857197	0.138346922	-34.83169078	8.06E-266	5.24E-263
gene-BTH_RS34680	910.9194355	-4.07802924	0.135709044	-30.04979701	2.20E-198	1.14E-195
gene-BTH_RS04285	1320.027902	3.7570448	0.183673047	20.45506878	5.41E-93	1.13E-90
gene-BTH_RS04355	430.2976389	3.8200256	0.189492578	20.15923596	2.23E-90	4.30E-88
gene-BTH_RS01195	765.8947344	3.871688855	0.22785655	16.99178216	9.45E-65	1.23E-62
gene-BTH_RS04380	273.0654852	3.892978639	0.258431748	15.063856	2.80E-51	2.69E-49
gene-BTH_RS04365	4044.364771	3.895220504	0.124933548	31.17833906	2.10E-213	1.21E-210
gene-BTH_RS04290	979.8608176	4.015596615	0.139868288	28.70984321	2.88E-181	1.15E-178
gene-BTH_RS04385	3216.901861	4.072522819	0.171213397	23.78623928	4.64E-125	1.10E-122
gene-BTH_RS04370	5731.973803	4.116006483	0.150793996	27.29555942	4.79E-164	1.78E-161
gene-BTH_RS01185	895.0515595	4.230139428	0.197904937	21.37460285	2.30E-101	4.99E-99
gene-BTH_RS04375	4832.806782	4.267425984	0.145359948	29.35764653	1.91E-189	9.02E-187
