#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
Prokka_on_dataset_61__gbk	KHHNCJJN_104	243	668	-	sycH	1-426/426	===============	0/0	100.00	100.00	vfdb	NP_395224	(sycH) chaperone for YopH [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_104	3425	3817	-	sycE/yerA	1-393/393	===============	0/0	100.00	100.00	vfdb	NP_395142	(sycE/yerA) chaperone for YopE  [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_104	4011	4670	+	yopE	1-660/660	===============	0/0	100.00	100.00	vfdb	NP_395143	(yopE) type III secretion system effector YopE GTPase activating protein (GAP) [TTSS (VF0140)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_113	2133	3071	-	pla	1-939/939	===============	0/0	100.00	100.00	vfdb	NP_395233	(pla) plasminogen activator protease precursor [Pla (VF0139)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_114	1374	2677	-	yadA	1-1304/1304	===============	0/0	100.00	100.00	vfdb		(yadA) trimeric autotransporter adhesin YadA [YadA (VF0133)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_12	75171	77087	+	yapC	1-1917/1917	===============	0/0	100.00	100.00	vfdb	YP_002347738	(yapC) autotransporter protein YapC [YapC (VF0510)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_149	704	809	+	astA	1-106/117	==============.	0/0	90.60	81.13	vfdb	BAA94855	(astA) heat-stable enterotoxin 1 [EAST1 (VF0216)] [Escherichia coli O44:H18 042]	
Prokka_on_dataset_61__gbk	KHHNCJJN_2	69194	71707	-	psaC	1-2514/2514	===============	0/0	100.00	100.00	vfdb	YP_002346330	(psaC) outer membrane usher protein PsaC [Myf/pH6 antigen (VF0134)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_2	71749	72570	-	psaB	1-822/822	===============	0/0	100.00	100.00	vfdb	YP_002346329	(psaB) chaperone protein PsaB [Myf/pH6 antigen (VF0134)] [Yersinia pestis CO92]	
Prokka_on_dataset_61__gbk	KHHNCJJN_2	72697	73173	-	psaA	1-477/477	===============	0/0	100.00	100.00	vfdb	NP_404898	(psaA) pH 6 antigen (antigen 4) (adhesin) [Myf/pH6 antigen (VF0134)] [Yersinia pestis CO92]	
